celula_id,semilla_x,semilla_y,area_px,intensidad_media
1,874,871,90,204.0
2,1531,643,177,197.41242937853107
3,585,647,199,198.0502512562814
4,616,316,137,195.32116788321167
5,287,164,123,193.41463414634146
7,1055,299,101,186.9108910891089
9,1244,848,169,185.65680473372782
10,493,1051,146,180.5
11,1216,439,134,184.47761194029852
12,221,689,102,178.2156862745098
14,1481,130,119,178.3109243697479
16,839,84,100,174.24
19,242,304,125,168.544
20,1059,145,132,167.36363636363637
24,770,116,80,168.6375
25,949,510,174,173.28735632183907
28,86,758,110,164.22727272727272
30,418,50,374,161.00267379679144
32,1266,235,123,159.0569105691057
33,1450,1054,205,157.66829268292682
35,1487,681,127,149.3464566929134
36,834,253,106,150.32075471698113
37,285,935,179,149.0223463687151
39,865,307,165,147.9878787878788
42,1155,1167,103,145.75728155339806
47,1468,752,109,137.87155963302752
48,1362,935,94,134.62765957446808
53,172,137,114,130.8421052631579
61,1210,400,187,123.89304812834224
67,763,234,122,127.15573770491804
70,835,664,101,121.10891089108911
103,979,162,166,108.76506024096386
117,160,76,84,99.89285714285714
119,473,375,130,108.26153846153846
137,1263,1164,157,89.1656050955414
147,1023,196,126,93.96031746031746
159,669,1089,781,94.50704225352112
